area_code,customer_code,child_sku_code,gsv
E42570,E50857,21031407,9079.30
E42570,E50857,21031411,9763.64
E42570,E50857,21031412,12268.19
E42570,E50857,21038550,174.33
E42570,E50857,21039096,5325.69
E42570,E50857,21039097,4243.10
E42570,E50857,21039098,325372.81
E42570,E50857,21039099,-0.04
E42570,E50857,21039110,190.00
E42570,E50857,21039111,74.25
E42570,E50857,21039113,182.00
E42570,E50857,21039114,2.92
E42570,E50857,21039115,222.92
E42570,E50857,21039792,64.58
E42570,E50857,21040650,-0.84
E42570,E50857,21040653,-0.75
E42570,E50857,21041422,66.08
E42570,E50857,21042818,-16.62
E42570,E50857,21045982,13455.22
E42570,E50857,21045983,3288.11
E42570,E50857,21050313,8615.99
E42570,E50857,21051980,6082.14
E42570,E50857,21051984,2319.30
E42570,E50857,21051988,10859.27
E42570,E50857,21051992,3953.46
E42570,E50857,21054827,955.75
E42570,E50857,21054829,708.00
E42570,E50857,21056565,829.00
E42570,E50857,21058471,1711.42
E42570,E50857,21059664,1467.54
E42570,E50857,21061779,1588.73
E42570,E50857,21063284,3129.97
E42570,E50857,21063286,268.05
E42570,E50857,21066191,7486.28
E42570,E50857,21066192,842.18
E42570,E50857,21066194,2198.26
E42570,E50857,21067667,-29.25
E42570,E50857,21067671,292673.72
E42570,E50857,21069275,628.79
E42570,E50857,21069495,1440.09
E42570,E50857,21073123,742.67
E42570,E50857,21075083,1176.44
E42570,E50857,21079585,21.00
E42570,E50857,21084505,2309.64
E42570,E50857,21084506,1785.22
E42570,E50857,21084507,1655.69
E42570,E50857,21086713,7947.61
E42570,E50857,21086714,17193.67
E42570,E50857,21086717,38000.63
E42570,E50857,21087155,-0.06
E42570,E50857,21093200,271.33
E42570,E50857,21114351,126.00
E42570,E50857,21117241,145.00
E42570,E50857,21120503,1823.00
E42570,E50857,21120504,4210.93
E42570,E50857,21120505,1986.00
E42570,E50857,21120506,2772.93
E42570,E50857,21130329,-0.17
E42570,E50857,21137231,-0.33
E42570,E50857,21137489,7520.00
E42570,E50857,21137516,16836.00
E42570,E50857,21137524,84647.67
E42570,E50857,21137551,6836.00
E42570,E50857,21138046,13595.32
