area_code,customer_code,child_sku_code,coc_03_code,gsv
E41583,E50835,20248034,C00188,5.14
E41583,E50835,20248034,C00189,2.36
E41583,E50835,20248034,C00191,64.28
E41583,E50835,20248034,C00196,1.33
E41583,E50835,20248034,C00199,25.47
E41583,E50835,20248034,C00200,0.08
E41583,E50835,20248034,C00204,0.42
E41583,E50835,20249673,C00183,24.42
E41583,E50835,20249673,C00185,4.75
E41583,E50835,20249673,C00186,3.00
E41583,E50835,20249673,C00187,0.50
E41583,E50835,20249673,C00191,2.50
E41583,E50835,20249673,C00196,1.00
E41583,E50835,20249673,C00204,0.17
E41583,E50835,20270172,C00183,58.50
E41583,E50835,20270172,C00185,2.00
E41583,E50835,20270172,C00186,7.75
E41583,E50835,20270172,C00187,2.50
E41583,E50835,20270172,C00188,1.67
E41583,E50835,20270172,C00189,0.46
E41583,E50835,20270172,C00191,19.42
E41583,E50835,20270172,C00195,0.08
E41583,E50835,20270172,C00199,0.21
E41583,E50835,20270174,C00183,42.50
E41583,E50835,20270174,C00185,1.83
E41583,E50835,20270174,C00186,1.50
E41583,E50835,20270174,C00187,0.25
E41583,E50835,20270174,C00188,0.25
E41583,E50835,20270174,C00191,1.83
E41583,E50835,20272347,C00183,52.96
E41583,E50835,20272347,C00185,3.50
E41583,E50835,20272347,C00186,8.83
E41583,E50835,20272347,C00187,2.25
E41583,E50835,20272347,C00188,0.38
E41583,E50835,20272347,C00189,0.50
E41583,E50835,20272347,C00191,26.88
E41583,E50835,20275028,C00183,5.00
E41583,E50835,20275028,C00185,14.06
E41583,E50835,20275028,C00186,56.25
E41583,E50835,20275028,C00187,48.06
E41583,E50835,20275028,C00188,65.50
E41583,E50835,20275028,C00189,0.33
E41583,E50835,20275028,C00191,5.08
E41583,E50835,20275028,C00195,1.00
E41583,E50835,20275028,C00196,13.25
E41583,E50835,20275028,C00199,0.35
E41583,E50835,20275028,C00204,83.06
E41583,E50835,20277449,C00183,5.50
E41583,E50835,20277449,C00186,0.88
E41583,E50835,20277449,C00189,0.08
E41583,E50835,20277449,C00191,0.75
E41583,E50835,20277836,C00182,239.03
E41583,E50835,20277836,C00183,540.89
E41583,E50835,20277836,C00185,19.81
E41583,E50835,20277836,C00186,898.97
E41583,E50835,20277836,C00187,1974.07
