ship_to_code,child_sku_code,gsv
15109589,21090470,37.889
15109589,21090471,9.363
15109589,21090472,16.232
15109589,21090473,11.533
15109589,21090474,3.654
15109589,21090476,3.631
15109589,21090787,1.717
15109589,21091172,8.926
15109589,21091173,0.000
15109589,21091174,0.305
15109589,21093199,0.239
15109589,21093200,0.307
15109589,21093201,2.600
15109589,21093202,1.806
15109589,21093518,3.053
15109589,21093519,0.087
15109589,21093520,1.973
15109589,21107050,0.305
15109589,21107051,0.622
15109589,21107052,0.034
15109589,21109061,1.058
15109589,21114351,0.281
15109589,21117241,0.271
15109589,21120503,3.235
15109589,21120504,5.783
15109589,21120505,2.831
15109589,21120506,2.350
15109589,21130336,0.071
15109589,21135782,0.007
15109589,21135815,0.007
15109589,21137485,0.804
15109589,21137486,0.550
15109589,21137487,0.296
15109589,21137488,0.120
15109589,21137489,1.785
15109589,21137516,0.150
15109589,21137517,0.030
15109589,21137520,0.000
15109589,21137524,33.171
15109589,21137525,5.705
15109589,21137551,2.118
15109589,21138292,0.169
15109589,21138295,0.141
15109589,21139140,0.000
15109589,21139146,0.083
15109589,21139147,0.000
15109589,21139205,0.000
15109589,21140939,16.039
15109589,21140940,6.500
15109589,21140941,10.561
15109589,21140942,3.604
15109589,21140943,11.712
15109589,21140981,0.347
15109589,21140982,0.804
15109589,21140983,0.293
15109589,21141195,1.027
15109589,21141196,0.024
15109589,21141198,0.335
15109589,21141199,0.507
15109589,21141220,0.167
15109589,21141222,0.720
15109589,21141223,0.434
15109589,21141273,0.253
15109589,21141274,0.409
15109589,21141611,0.333
15109589,21141724,0.029
15109589,21144773,0.000
15109589,21144885,0.310
15109589,21144886,0.079
15109589,21144887,0.127
15109589,21144888,0.123
15109589,21146727,0.000
15109589,21146728,0.000
15109589,21146836,2.146
15109589,21146837,2.843
15109589,21146838,1.337
15109589,21146851,1.031
15109589,21147158,0.385
15109589,21147159,0.036
15109589,21148264,0.370
15109589,21148364,64.494
15109589,21148864,0.115
