area_code,customer_code,child_sku_code,gsv,,,,,,,,,,
E41590,E7601,65037071,51772.53,,,,,,,,,,
E41590,E7601,65037077,31834.31,,,,,,,,,,
E41590,E7601,65037089,57797.08,,,,,,,,,,
E41590,E7601,20282705,-342.02,,,,,,,,,,
E41590,E7601,65021714,-54.81,,,,,,,,,,
E41590,E7601,65037072,65108.53,,,,,,,,,,
E41590,E7601,65037078,48831.39,,,,,,,,,,
E41590,E7601,65037090,81797.07,,,,,,,,,,
E41590,E7601,65037076,3561.43,,,,,,,,,,
E41590,E7601,20277449,30191.76,,,,,,,,,,
E41590,E7601,21069275,83866,,,,,,,,,,
E41590,E7601,20292810,26528.46,,,,,,,,,,
E41590,E7601,20292816,4379.95,,,,,,,,,,
E41590,E7601,20293277,52592.22,,,,,,,,,,
E41590,E7601,20293279,73044.75,,,,,,,,,,
E41590,E7601,20293278,28141.12,,,,,,,,,,
E41590,E7601,20293280,28141.12,,,,,,,,,,
E41590,E7601,20228246,59699.85,,,,,,,,,,
E41590,E7601,20228256,20468.52,,,,,,,,,,
E41590,E7601,20284832,98614.1,,,,,,,,,,
E41590,E7601,20284833,182056.8,,,,,,,,,,
E41590,E7601,20226140,206626.83,,,,,,,,,,
E41590,E7601,20228257,45917.08,,,,,,,,,,
E41590,E7601,21013982,76130.55,,,,,,,,,,
E41590,E7601,21013983,123500.67,,,,,,,,,,
E41590,E7601,21013987,21993.27,,,,,,,,,,
E41590,E7601,21013989,47370.12,,,,,,,,,,
E41592,E50879,65004403,-1166.55,,,,,,,,,,
E41592,E50879,65004502,5348275.12,,,,,,,,,,
E41592,E50879,65004417,-1072.78,,,,,,,,,,
E41592,E50879,65004510,2201638.29,,,,,,,,,,
E41592,E50879,20070841,-25600.64,,,,,,,,,,
E41592,E50879,20071069,-61220.3,,,,,,,,,,
E41592,E50879,21031404,696467.61,,,,,,,,,,
E41592,E50879,21031406,802322.52,,,,,,,,,,
E41592,E50879,21031412,181989.17,,,,,,,,,,
E41592,E50879,65004487,-40098.95,,,,,,,,,,
E41592,E50879,65025120,-40167.67,,,,,,,,,,
E41592,E50879,21001515,-6353.59,,,,,,,,,,
E41592,E50879,21019617,-8161.79,,,,,,,,,,
E41592,E50879,21002844,77879.89,,,,,,,,,,
E41592,E50879,65004643,-15799.76,,,,,,,,,,
E41592,E50879,20304736,354988.61,,,,,,,,,,
E41592,E50879,65004418,-7.93,,,,,,,,,,
E41592,E50879,65004419,-83.3,,,,,,,,,,
E41592,E50879,20304739,396110.65,,,,,,,,,,
E41592,E50879,65004320,2397829.23,,,,,,,,,,
E41592,E50879,65004313,-167.34,,,,,,,,,,
E41592,E50879,65004330,1540771.36,,,,,,,,,,
E41592,E50879,65004332,1507976.23,,,,,,,,,,
E41592,E50879,65004335,1002982.52,,,,,,,,,,
E41592,E50879,65004338,1007877.7,,,,,,,,,,
E41592,E50879,65002559,-142.5,,,,,,,,,,
E41592,E50879,65001969,-1802.72,,,,,,,,,,
E41592,E50879,65002913,-34.32,,,,,,,,,,
E41592,E50879,65038225,-33.12,,,,,,,,,,
E41592,E50879,65038226,-87.53,,,,,,,,,,
E41592,E50879,65038228,-1890.9,,,,,,,,,,
E41592,E50879,21067671,2474395.2,,,,,,,,,,
E41592,E50879,21148868,791848.68,,,,,,,,,,
E41592,E50879,21148869,473736.06,,,,,,,,,,
E41592,E50879,21148870,460767.44,,,,,,,,,,
E41592,E50879,65001979,-66.66,,,,,,,,,,
E41592,E50879,65002387,-162.19,,,,,,,,,,
E41592,E50879,65002388,-226.32,,,,,,,,,,
E41592,E50879,65039761,2044115.61,,,,,,,,,,
E41592,E50879,65039762,1674635.95,,,,,,,,,,
E41592,E50879,65039764,3258884.39,,,,,,,,,,
E41592,E50879,65039772,-85.82,,,,,,,,,,
E41592,E50879,65028976,8989.6,,,,,,,,,,
E41592,E50879,65001055,-54.12,,,,,,,,,,
E41592,E50879,65002640,-2845.37,,,,,,,,,,
E41592,E50879,65002641,-1987.81,,,,,,,,,,
E41592,E50879,65002642,-3237.3,,,,,,,,,,
E41592,E50879,21051980,2267416.58,,,,,,,,,,
E41592,E50879,65028982,-288.66,,,,,,,,,,
E41592,E50879,21086713,1053537.98,,,,,,,,,,
E41592,E50879,21086714,1516704.66,,,,,,,,,,
E41592,E50879,21086717,2325484.08,,,,,,,,,,
E41592,E50879,65001954,798216.34,,,,,,,,,,
E41592,E50879,65001959,407494.18,,,,,,,,,,
E41592,E50879,65001961,543696.34,,,,,,,,,,
E41592,E50879,21039096,2953897.85,,,,,,,,,,
E41592,E50879,21039098,2953465.6,,,,,,,,,,
E41592,E50879,21138046,2136080.44,,,,,,,,,,
E41592,E50879,21148364,1182.86,,,,,,,,,,
E41592,E50879,21066191,619751.88,,,,,,,,,,
E41592,E50879,20275568,-49.46,,,,,,,,,,
E41592,E50879,64019106,337465.64,,,,,,,,,,
E41592,E50879,64019107,518175.85,,,,,,,,,,
E41592,E50879,64019108,257024.8,,,,,,,,,,
E41592,E50879,65038236,272118.29,,,,,,,,,,
E41592,E50879,64019110,-35797,,,,,,,,,,
E41592,E50879,64019111,-11879.32,,,,,,,,,,
E41592,E50879,64019112,-18874.44,,,,,,,,,,
E41592,E50879,64028163,-962.85,,,,,,,,,,
E41592,E50879,65038237,-5852.33,,,,,,,,,,
E41592,E50879,65002840,5167763.75,,,,,,,,,,
E41592,E50879,65002841,6648266.3,,,,,,,,,,
E41592,E50879,65003236,156034.77,,,,,,,,,,
E41592,E50879,65002849,5009544.07,,,,,,,,,,
E41592,E50879,21025554,2859279.72,,,,,,,,,,
E41592,E50879,21140939,1355707.08,,,,,,,,,,
E41592,E50879,21140941,779142,,,,,,,,,,
E41592,E50879,21140942,607730.76,,,,,,,,,,
E41592,E50879,65002854,-34062.7,,,,,,,,,,
E41592,E50879,65002856,5515022.89,,,,,,,,,,
E41592,E50879,65002857,6047039.22,,,,,,,,,,
E41592,E50879,65003238,192187.97,,,,,,,,,,
E41592,E50879,21025556,1620674.8,,,,,,,,,,
E41592,E50879,21141195,601715.52,,,,,,,,,,
E41592,E50879,21141222,451286.64,,,,,,,,,,
E41592,E50879,21141274,175500.36,,,,,,,,,,
E41592,E50879,65002862,-41599.86,,,,,,,,,,
E41592,E50879,65002864,2493068.3,,,,,,,,,,
E41592,E50879,65002865,3600956.12,,,,,,,,,,
E41592,E50879,65002422,-282.15,,,,,,,,,,
E41592,E50879,20275031,-4586.24,,,,,,,,,,
E41592,E50879,21008979,5389103.1,,,,,,,,,,
E41592,E50879,21009048,1995922.1,,,,,,,,,,
E41592,E50879,65002377,-23667.12,,,,,,,,,,
E41592,E50879,65024682,-15468.29,,,,,,,,,,
E41592,E50879,65002175,-5352.43,,,,,,,,,,
E41592,E50879,21040650,-12344.99,,,,,,,,,,
E41592,E50879,20275027,-8156.62,,,,,,,,,,
E41592,E50879,20275028,-14013.89,,,,,,,,,,
E41592,E50879,21008977,4762310.42,,,,,,,,,,
E41592,E50879,21030915,1354907.07,,,,,,,,,,
E41592,E50879,65028821,1610685.3,,,,,,,,,,
E41592,E50879,65028822,-2124.54,,,,,,,,,,
E41592,E50879,65024944,1117050.14,,,,,,,,,,
E41592,E50879,65024640,-3409,,,,,,,,,,
E41592,E50879,65002017,-1457.82,,,,,,,,,,
E41592,E50879,65003263,1755653.62,,,,,,,,,,
E41592,E50879,21045982,122194.44,,,,,,,,,,
E41592,E50879,65024943,-12541.32,,,,,,,,,,
E41592,E50879,21045983,3529086.49,,,,,,,,,,
E41592,E50879,65003271,276790.2,,,,,,,,,,
E41592,E50879,21029749,2446903.32,,,,,,,,,,
E41592,E50879,21029753,3668678.54,,,,,,,,,,
E41592,E50879,21029754,2607373.98,,,,,,,,,,
E41592,E50879,21029755,1307599.81,,,,,,,,,,
E41592,E50879,20094744,-3711.51,,,,,,,,,,
E41592,E50879,21000763,28485746.56,,,,,,,,,,
E41592,E50879,21000765,8384653.01,,,,,,,,,,
E41592,E50879,21000769,3770793.97,,,,,,,,,,
E41592,E50879,21000773,3670221.49,,,,,,,,,,
E41592,E50879,21148865,147085.38,,,,,,,,,,
E41592,E50879,65024637,-14448.32,,,,,,,,,,
E41592,E50879,65024638,-17363.61,,,,,,,,,,
E41592,E50879,65024639,-12364.6,,,,,,,,,,
E41592,E50879,20209224,-5645.82,,,,,,,,,,
E41592,E50879,20209228,-6811.18,,,,,,,,,,
E41592,E50879,20209476,-3045.42,,,,,,,,,,
E41592,E50879,21000767,14162614.77,,,,,,,,,,
E41592,E50879,21000771,11971251.91,,,,,,,,,,
E41592,E50879,65024756,-296.23,,,,,,,,,,
