sap_code,sap_desc,pack_size,barcode,case_code,price_case,price_case_tax,price,srp
63914558,LADYS CHOICE PENT BUTR CREAMY 12X170g,12,4808680653174,14808680653171,662.68,742.20,61.85,64.95
63914559,LADYS CHOICE PENT BUTR CREAMY 12X340g,12,4808680653266,14808680653263,1211.79,1357.20,113.10,118.75
63914556,LADYS CHOICE PENT BUTR CHUNKY12X340g,12,4808680653273,14808680653270,1211.79,1357.20,113.10,118.75
63914557,LADYS CHOICE PENT BUTR CH STRIPE 12X350g,12,4808680653280,14808680653287,1318.93,1477.20,123.10,129.25
63070400,LADYS CHOICE PENT BUTR SWEET12X170g,12,4808680653204,14808680653201,662.68,742.20,61.85,64.95
63070500,LADYS CHOICE PENT BUTR SWEET12X340g,12,4808680653303,14808680653300,1211.79,1357.20,113.10,118.75
65004359,LADY'S CHOICE ALSA GLMN CRYSTL UFL24x90G,24,4808680130958,14808680130955,1001.79,1122.00,46.75,49.50
65004356,LADY'S CHOICE ALSA GLMN GRN UNFLV 24x90G,24,4808680130859,14808680130856,1001.79,1122.00,46.75,49.50
65004477,BESTFOODS RGLR MYNS MAYO MAGIC 72X80ML,72,4808680652757,14808680652754,1057.50,1184.40,16.45,18.00
65004662,BESTFOODS RGLR MYNS MAYOMAGICDOY24X220ML,24,4808680027159,14808680027156,912.86,1022.40,42.60,45.25
65004623,BESTFOODS RGLR MYNS MAYO MGC DOY12X470ML,12,4800888603173,24800888603177,893.57,1000.80,83.40,87.50
65004664,BESTFOODS RGLR MYNS MAYO MAGIC 12X470 ML,12,4808680023809,14808680023806,1036.07,1160.40,96.70,101.50
65004665,BESTFOODS RGLR MYNS MAYO MAGIC 6X700ML,6,4808680023854,14808680023851,743.84,833.10,138.85,146.00
65004666,BESTFOODS RGLR MYNS MAYO MAGIC 4X3.5L,4,4808680024103,14808680024100,1666.25,1866.20,466.55,490.00
65004668,BESTFOODS RGLR MYNS DOY 24X220ML,24,4808680022888,14808680022885,1503.21,1683.60,70.15,75.75
65004669,BESTFOODS RGLR MYNS 24X220ML,24,4808680022871,14808680022878,1698.21,1902.00,79.25,85.75
65004670,BESTFOODS RGLR MYNS 12X470ML,12,4808680022901,14808680022908,1684.29,1886.40,157.20,170.00
65004671,BESTFOODS RGLR MYNS 6X700ML,6,4808680022956,14808680022953,1214.46,1360.20,226.70,245.00
65004672,BESTFOODS RGLR MYNS REAL MAYO 4X3.5L,4,4808680023205,14808680023202,2479.82,2777.40,694.35,750.00
65004675,BESTFOODS RGLR MYNS WNDR MAYO 4X3.5L,4,4808680029504,14808680029501,1326.79,1486.00,371.50,390.00
65004479,BESTFOODS SNDWCH SPRD 72X80ML,72,4808680652771,14808680652778,1057.50,1184.40,16.45,18.00
65004679,BESTFOODS SNDWCH SPRD DOY 24X220ML,24,4808680022482,14808680022489,943.93,1057.20,44.05,47.00
65004680,BESTFOODS SNDWCH SPRD 24X220ML,24,4808680022475,14808680022472,1161.43,1300.80,54.20,57.00
65004681,BESTFOODS SNDWCH SPRD 12X470ML,12,4808680022659,14808680022656,1188.75,1331.40,110.95,117.00
65004685,BESTFOODS SNDWCH SPRDSLDMATEDOY24X220ML,24,4808680022611,14808680022618,828.21,927.60,38.65,41.50
65004686,BESTFOODS SNDWCH SPRD SLD MATE 24X220ML,24,4808680024271,14808680024278,1006.07,1126.80,46.95,49.50
65004687,BESTFOODS SNDWCH SPRD SLD MATE 12X470ML,12,4808680024356,14808680024353,1006.07,1126.80,93.90,99.00
65004688,BESTFOODS SNDWCH SPRD SLD MATE 6X700ML,6,4808680024400,14808680024407,709.55,794.70,132.45,139.50
65004689,BESTFOODS SNDWCH SPRD SLD MATE 4X3.5L,4,4808680024653,14808680024650,1530.54,1714.20,428.55,450.00
63914561,BESTFOODS PEANUT BUTTER 12X170g,12,4808680653150,14808680653157,586.61,657.00,54.75,57.50
63914562,BESTFOODS PEANUT BUTTER 12X340g,12,4808680653310,14808680653317,1089.64,1220.40,101.70,106.75
21001513,KNORR MEALMAKER SWEET AND SOUR 96X45G,96,4800888605320,24800888605324,1911.43,2140.80,22.30,25.00
