area_code,customer_code,child_sku_code,coc_03_code,gsv
E41583,E50835,20228256,C00195,0.125
E41583,E50835,20228256,C00196,2.625
E41583,E50835,20228256,C00199,0.125
E41583,E50835,20228256,C00200,5.125
E41583,E50835,20228256,C00204,9.500
E41583,E50835,20228257,C00182,139.167
E41583,E50835,20228257,C00183,357.125
E41583,E50835,20228257,C00185,31.667
E41583,E50835,20228257,C00186,80.167
E41583,E50835,20228257,C00187,31.521
E41583,E50835,20228257,C00188,9.354
E41583,E50835,20228257,C00189,1.542
E41583,E50835,20228257,C00191,74.000
E41583,E50835,20228257,C00196,0.500
E41583,E50835,20228257,C00199,226.833
E41583,E50835,20228257,C00200,0.375
E41583,E50835,20228257,C00204,11.250
E41583,E50835,20229792,C00183,6.000
E41583,E50835,20229792,C00186,0.667
E41583,E50835,20229792,C00191,0.167
E41583,E50835,20229792,C00199,0.083
E41583,E50835,20234480,C00183,-0.208
E41583,E50835,20234480,C00185,-0.083
E41583,E50835,20234480,C00186,-0.042
E41583,E50835,20234480,C00191,-0.042
E41583,E50835,20237416,C00191,-0.083
E41583,E50835,20248034,C00182,19.333
E41583,E50835,20248034,C00183,89.528
E41583,E50835,20248034,C00185,9.778
E41583,E50835,20248034,C00186,18.639
E41583,E50835,20248034,C00187,18.750
E41583,E50835,20248034,C00188,5.139
E41583,E50835,20248034,C00189,2.361
E41583,E50835,20248034,C00191,64.278
E41583,E50835,20248034,C00196,1.333
E41583,E50835,20248034,C00199,25.472
E41583,E50835,20248034,C00200,0.083
E41583,E50835,20248034,C00204,0.417
E41583,E50835,20249673,C00183,24.417
E41583,E50835,20249673,C00185,4.750
E41583,E50835,20249673,C00186,3.000
E41583,E50835,20249673,C00187,0.500
E41583,E50835,20249673,C00191,2.500
E41583,E50835,20249673,C00196,1.000
E41583,E50835,20249673,C00204,0.167
E41583,E50835,20270172,C00183,58.500
E41583,E50835,20270172,C00185,2.000
E41583,E50835,20270172,C00186,7.750
E41583,E50835,20270172,C00187,2.500
E41583,E50835,20270172,C00188,1.667
E41583,E50835,20270172,C00189,0.458
E41583,E50835,20270172,C00191,19.417
E41583,E50835,20270172,C00195,0.083
E41583,E50835,20270172,C00199,0.208
E41583,E50835,20270174,C00183,42.500
E41583,E50835,20270174,C00185,1.833
E41583,E50835,20270174,C00186,1.500
E41583,E50835,20270174,C00187,0.250
E41583,E50835,20270174,C00188,0.250
E41583,E50835,20270174,C00191,1.833
E41583,E50835,20272347,C00183,52.958
E41583,E50835,20272347,C00185,3.500
E41583,E50835,20272347,C00186,8.833
E41583,E50835,20272347,C00187,2.250
E41583,E50835,20272347,C00188,0.375
E41583,E50835,20272347,C00189,0.500
E41583,E50835,20272347,C00191,26.875
E41583,E50835,20275028,C00183,5.000
E41583,E50835,20275028,C00185,14.063
E41583,E50835,20275028,C00186,56.250
E41583,E50835,20275028,C00187,48.063
E41583,E50835,20275028,C00188,65.500
E41583,E50835,20275028,C00189,0.333
E41583,E50835,20275028,C00191,5.083
E41583,E50835,20275028,C00195,1.000
E41583,E50835,20275028,C00196,13.250
E41583,E50835,20275028,C00199,0.354
E41583,E50835,20275028,C00204,83.063
E41583,E50835,20277449,C00183,5.500
E41583,E50835,20277449,C00186,0.875
E41583,E50835,20277449,C00189,0.083
E41583,E50835,20277449,C00191,0.750
E41583,E50835,20277836,C00182,239.028
E41583,E50835,20277836,C00183,540.889
E41583,E50835,20277836,C00185,19.806
E41583,E50835,20277836,C00186,898.972
E41583,E50835,20277836,C00187,1974.069
E41583,E50835,20277836,C00188,1815.792
E41583,E50835,20277836,C00189,1.333
E41583,E50835,20277836,C00191,93.806
E41583,E50835,20277836,C00193,10.167
E41583,E50835,20277836,C00195,2.000
E41583,E50835,20277836,C00196,140.250
E41583,E50835,20277836,C00199,435.833
E41583,E50835,20277836,C00200,77.667
E41583,E50835,20277836,C00204,595.750
E41583,E50835,20277838,C00182,20.000
E41583,E50835,20277838,C00183,68.333
E41583,E50835,20277838,C00185,24.000
E41583,E50835,20277838,C00186,69.458
E41583,E50835,20277838,C00187,53.708
E41583,E50835,20277838,C00188,33.667
E41583,E50835,20277838,C00189,0.958
E41583,E50835,20277838,C00191,54.417
E41583,E50835,20277838,C00195,1.000
E41583,E50835,20277838,C00196,6.250
E41583,E50835,20277838,C00199,0.042
E41583,E50835,20277838,C00200,0.625
E41583,E50835,20277838,C00204,16.500
E41583,E50835,20278034,C00182,6.000
E41583,E50835,20278034,C00183,42.833
E41583,E50835,20278034,C00185,14.333
E41583,E50835,20278034,C00186,25.444
E41583,E50835,20278034,C00187,20.444
E41583,E50835,20278034,C00188,13.833
E41583,E50835,20278034,C00189,0.667
E41583,E50835,20278034,C00191,20.667
E41583,E50835,20278034,C00196,4.333
E41583,E50835,20278034,C00200,1.722
E41583,E50835,20278034,C00204,1.333
E41583,E50835,20284832,C00183,74.000
E41583,E50835,20284832,C00185,0.500
E41583,E50835,20284832,C00186,17.750
E41583,E50835,20284832,C00187,3.250
E41583,E50835,20284832,C00188,1.000
E41583,E50835,20284832,C00191,2.375
E41583,E50835,20284832,C00199,6.250
E41583,E50835,20284832,C00204,0.500
E41583,E50835,20284833,C00183,302.000
E41583,E50835,20284833,C00185,0.750
E41583,E50835,20284833,C00186,9.500
E41583,E50835,20284833,C00187,1.875
E41583,E50835,20284833,C00188,1.250
E41583,E50835,20284833,C00189,0.250
E41583,E50835,20284833,C00191,61.125
E41583,E50835,20284833,C00199,4.375
E41583,E50835,20284833,C00204,1.250
E41583,E50835,20288006,C00183,4.000
E41583,E50835,20288006,C00186,-0.083
E41583,E50835,20292808,C00182,9.993
E41583,E50835,20292808,C00183,17.590
E41583,E50835,20292808,C00185,2.958
E41583,E50835,20292808,C00186,5.236
E41583,E50835,20292808,C00187,5.889
E41583,E50835,20292808,C00188,1.743
E41583,E50835,20292808,C00189,0.729
E41583,E50835,20292808,C00191,30.979
E41583,E50835,20292808,C00195,1.000
E41583,E50835,20292808,C00196,0.056
E41583,E50835,20292808,C00199,0.021
E41583,E50835,20292808,C00200,0.076
E41583,E50835,20292808,C00204,4.667
E41583,E50835,20292810,C00183,13.819
E41583,E50835,20292810,C00185,1.083
E41583,E50835,20292810,C00186,1.542
E41583,E50835,20292810,C00187,0.361
E41583,E50835,20292810,C00188,0.125
E41583,E50835,20292810,C00191,7.931
E41583,E50835,20292814,C00182,9.917
E41583,E50835,20292814,C00183,19.569
E41583,E50835,20292814,C00185,3.660
E41583,E50835,20292814,C00186,4.792
E41583,E50835,20292814,C00187,4.882
E41583,E50835,20292814,C00188,1.583
E41583,E50835,20292814,C00189,0.896
E41583,E50835,20292814,C00191,29.250
E41583,E50835,20292814,C00196,0.056
E41583,E50835,20292814,C00199,0.021
E41583,E50835,20292814,C00200,0.021
E41583,E50835,20292814,C00204,0.333
E41583,E50835,20292816,C00182,-1.000
E41583,E50835,20292816,C00183,15.153
E41583,E50835,20292816,C00185,1.667
E41583,E50835,20292816,C00186,2.056
E41583,E50835,20292816,C00187,0.292
E41583,E50835,20292816,C00188,0.375
E41583,E50835,20292816,C00189,0.042
E41583,E50835,20292816,C00191,6.792
E41583,E50835,20292816,C00199,0.028
E41583,E50835,20293277,C00183,16.125
E41583,E50835,20293277,C00185,1.750
E41583,E50835,20293277,C00186,2.625
E41583,E50835,20293277,C00187,0.333
E41583,E50835,20293277,C00188,0.292
E41583,E50835,20293277,C00191,11.167
E41583,E50835,20293277,C00199,0.167
E41583,E50835,20293278,C00183,26.750
E41583,E50835,20293278,C00185,5.125
E41583,E50835,20293278,C00186,5.000
E41583,E50835,20293278,C00187,1.125
E41583,E50835,20293278,C00188,-0.042
E41583,E50835,20293278,C00189,0.375
E41583,E50835,20293278,C00191,19.208
E41583,E50835,20293279,C00183,10.750
E41583,E50835,20293279,C00185,2.375
E41583,E50835,20293279,C00186,3.042
E41583,E50835,20293279,C00188,0.250
E41583,E50835,20293279,C00191,6.208
E41583,E50835,20293279,C00199,0.083
E41583,E50835,20293280,C00183,15.958
E41583,E50835,20293280,C00185,1.167
E41583,E50835,20293280,C00186,5.542
E41583,E50835,20293280,C00187,0.875
E41583,E50835,20293280,C00188,0.208
E41583,E50835,20293280,C00189,0.250
E41583,E50835,20293280,C00191,22.000
E41583,E50835,20294810,C00183,38.333
E41583,E50835,20294810,C00185,3.417
E41583,E50835,20294810,C00186,3.083
E41583,E50835,20294810,C00189,0.250
E41583,E50835,20294810,C00191,5.083
E41583,E50835,20294810,C00196,1.000
E41583,E50835,20294810,C00204,0.333
E41583,E50835,20294813,C00183,34.167
E41583,E50835,20294813,C00185,6.167
E41583,E50835,20294813,C00186,3.333
E41583,E50835,20294813,C00187,0.250
E41583,E50835,20294813,C00189,0.250
E41583,E50835,20294813,C00191,4.917
E41583,E50835,20294813,C00204,0.333
E41583,E50835,20294814,C00183,24.000
E41583,E50835,20294814,C00185,4.083
E41583,E50835,20294814,C00186,3.333
E41583,E50835,20294814,C00187,0.500
E41583,E50835,20294814,C00189,0.083
E41583,E50835,20294814,C00191,6.667
E41583,E50835,20294814,C00196,1.000
E41583,E50835,20294814,C00199,0.083
E41583,E50835,20294814,C00204,0.083
E41583,E50835,20304736,C00182,1.000
E41583,E50835,20304736,C00183,307.972
E41583,E50835,20304736,C00185,41.083
E41583,E50835,20304736,C00186,85.278
E41583,E50835,20304736,C00187,250.792
E41583,E50835,20304736,C00188,452.785
E41583,E50835,20304736,C00189,0.208
E41583,E50835,20304736,C00191,4.792
E41583,E50835,20304736,C00193,23.000
E41583,E50835,20304736,C00195,1.083
E41583,E50835,20304736,C00196,13.549
E41583,E50835,20304736,C00199,0.264
E41583,E50835,20304736,C00200,4.014
E41583,E50835,20304736,C00204,93.514
E41583,E50835,20304739,C00182,107.000
E41583,E50835,20304739,C00183,324.931
E41583,E50835,20304739,C00185,53.674
E41583,E50835,20304739,C00186,120.486
E41583,E50835,20304739,C00187,314.875
E41583,E50835,20304739,C00188,698.014
E41583,E50835,20304739,C00189,0.292
E41583,E50835,20304739,C00191,3.417
E41583,E50835,20304739,C00193,15.000
E41583,E50835,20304739,C00195,141.000
E41583,E50835,20304739,C00196,13.813
E41583,E50835,20304739,C00199,487.542
E41583,E50835,20304739,C00200,5.639
E41583,E50835,20304739,C00204,96.201
